companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 大田,8924,,-9.86,-9.46,-6.47,-2.61,-3.43,-3.04,1.71,-1.59,-6.79,-7.2,-1.26,-3.3,-6.44,-4.58,-0.77,2.97,0.67,0.98
 台汽電,8926,,5.88,3.62,1.64,9.3,7.85,4.95,1.94,15.96,13.44,9.11,5.25,7.45,4.62,1.96,2.16,6.43,7.97,3.82
 北基,8927,,1.65,2.58,1.08,-0.93,-1.74,-0.12,-0.18,-4.98,-2.77,-1.31,-0.76,-0.54,0.44,0.94,1.36,0.82,1.43,1.65
 鉅明,8928,,8.15,11.46,10.29,29.05,19.3,18.24,16.08,39.92,22.22,28.21,16.15,3.01,-15.7,-24.66,-24.93,-23.33,-23.28,-16.53
 富堡,8929,,13.48,3.76,2.07,5.25,2.66,1.98,1.55,5.75,4.67,3.49,1.81,11.11,8.63,5.8,2.79,14.67,11.25,7.74
 青鋼,8930,,2.76,1.77,-0.39,-3.13,-2.09,-0.79,-0.57,2.56,2.17,0.71,0.1,24.7,24.32,24.24,0.17,2.21,1.5,-0.07
 大汽電,8931,,4.5,2.16,1.29,5.37,3.88,1.83,1.43,8.43,5.97,3.42,1.25,7.74,5.61,3.2,1.03,9.23,5.03,2.28
 宏大,8932,,5.21,6.55,2.31,6.82,8.85,5.36,0.58,9.05,8.78,8.19,2.99,11.04,13.38,13.06,2.71,0.92,0.88,2.89
 愛地雅,8933,,0.2,-0.65,1.19,10.84,7.91,3,1.56,5.94,1.97,1.1,1.27,7.87,6.05,3.75,4.38,5.14,3.8,2.81
 衡平,8934,,7.9,4.34,6.07,13.25,0.06,1.67,3.43,11.42,2,3.41,0.78,23.52,10.35,9.41,6.04,64.66,47.24,38.43
 邦泰,8935,,-18.13,-4.59,-0.46,-8.8,-4.61,-2.37,0.66,-11.09,-4.52,-3.65,-0.94,-7.25,-6.48,-5.49,0.48,-27.53,-10.68,-6.59
 國統,8936,,-3.61,0.07,0.68,3.82,8.06,5.93,2.9,13.77,12.03,8.31,2.21,9.35,7.12,4.55,1.65,2.22,0.76,0.37
 合騏,8937,,-0.72,0.75,0.76,1.03,1.82,-1.87,-1.33,2.03,1.43,1.11,0.65,2.25,2.41,1.67,0.29,-0.67,-1.2,-1.71
 明安,8938,,3.55,2.34,2.34,1.76,-3.51,-4.03,0.92,-1.9,-4.94,-1.82,2.25,-2.72,-5.14,-0.77,1.63,11.56,8.36,9.52
 新天地,8940,,-5.03,5.2,8.36,-1.36,-7.5,2.73,4.69,-11.8,-14.22,-3.76,1.41,-4.42,-4.26,2.02,5.49,7.83,3.06,4.65
 關中,8941,,3.54,1.32,0.23,8,18.98,8.22,-3.98,67.59,90.69,24.81,-45.36,-48.93,-18.88,2.58,-23.5,-134.6,-85.03,-43.49
 森鉅,8942,,10.07,8.11,3.81,16.73,13.5,8.16,4.08,11.32,6.56,6.35,3.77,13.3,9.6,9.35,6.38,18.47,15.4,11.17
 高力,8996,,12.54,9.36,3.94,10.21,4.43,2.87,1.97,11.53,9.91,7.44,2.91,10.26,8.79,6.85,3.31,10.35,8.52,4.35
 美德醫療-DR,9103,,,0.79,,0.93,,0.55,,0.65,,0.45,,1.06,,1.44,,2.35,,1.39
康師傅-DR,910322,,7.82,2.38,1.85,7.18,11.34,6.56,3.2,12.44,13.52,8.59,4.42,13.5,14.3,7.02,3.33,15.24,15.48,7.37
 聖馬丁-DR,910482,,,1.44,,-27.42,,0.43,,-54.11,,,,-3.1,,-28.11,,-4.38,,-6.56
 泰金寶-DR,9105,,4.59,2.79,1.41,8.68,6.23,3.54,1.91,6.78,2.96,1.57,1.22,0.72,4.79,2.02,1.98,7.34,6.43,3.9
 新焦點-DR,9106,,,1.25,,-19.31,,-2.01,,-6.83,,-3.32,,-108.25,,-18.79,,-60.57,,-1.4
大健-DR,910708,,,2.56,,,,23.04,,0.67,,2.43,,2.59,,5.04,,5.38,,8.02
 金衛-DR,910801,,,-7.49,,-9.61,,-8.69,,-17.05,,-1.84,,-11.48,,-2.87,,3.48,,1.94
神州-DR,910861,,,-1.2,,2.97,2.42,1.39,1.57,9.06,7.5,5.11,2.31,-3.02,-5.48,7.89,2.1,19.27,16.8,11.04
 越南控-DR,9110,,-0.09,-0.39,0.05,-5.74,-3.4,-2.57,-1.46,-6.89,-4.94,-3.29,-1.42,,,,,0.42,-0.15,-0.29
明輝-DR,911608,,-2.27,-0.55,-1.18,-2.39,1.55,4.93,5.65,-7.01,-1.2,-0.98,0.18,1.62,5.07,2.17,0.65,-2.68,-1.12,3.26
 特藝-DR,911613,,,-9.2,-1.63,1.6,30.37,1.63,0.15,,,,,-18.81,-2.49,1.31,1.25,33.21,35.28,22.67
杜康-DR,911616,,-0.25,-0.74,-0.17,0.02,-0.06,-33.31,-1.23,-1.33,-1.5,2.23,2.45,2.07,1.55,,18.27,8.61,4,15.39
