companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 台泥,1101,,4.05,1.86,0.06,4.36,2.94,2.37,0.6,10.51,8.18,5.06,1.79,10.24,7.77,4.13,1.39,7.63,5.9,3.88
 亞泥,1102,,1.84,1.04,0.13,3.12,2.74,2.85,0.94,6.93,5.4,3.9,1.1,8.18,4.95,3.59,0.95,6.85,5.25,4.33
 嘉泥,1103,,-0.69,-1.84,-1.35,1.28,-2.3,-0.37,-0.97,0.26,0.94,0.06,-0.16,6.8,1.14,0.09,0.36,-3.96,-4.09,0.11
 環泥,1104,,7.46,5.3,2.12,8.7,5.73,3.88,1.64,9.13,7.03,4.68,1.64,8.06,5.62,3.88,1.36,5.41,4.51,3.16
 幸福,1108,,5.87,4.27,2.15,10.64,9.35,7.43,3.54,8.92,6.65,4.95,1.54,3.78,3.7,2.48,1.5,4.19,3.82,3.35
 信大,1109,,1.21,0.69,-0.52,-0.86,-1.51,-0.42,0.02,4.76,3.92,3.62,1.49,4.61,1.76,1.55,0.51,0.86,-0.35,0.13
 東泥,1110,,2.61,2.71,2.47,1.65,1.4,0.69,0.4,1.62,1.91,1.19,0.78,1.72,2.19,0.93,0.72,0.84,1.96,1.18
 味全,1201,,-5.95,-5.09,-1.58,-17.27,-9.49,-5.72,-2.39,-1.27,2.47,3.21,2.03,6.37,6.41,4.21,2.28,5.53,5.29,3.52
 味王,1203,,8.27,4.98,2.36,8.91,9.11,6.21,3.87,7.19,5.37,4.46,2.55,7.65,7.13,4.56,2.55,3.13,1.82,1.15
 大成,1210,,10.17,6.4,3.06,2.48,3.14,1.19,0.45,5.16,6.71,3.94,1.92,12.64,3.8,1.34,1.69,6.61,6.07,3.88
 大飲,1213,,2.78,1.77,0.73,2.46,4.37,1.69,1.66,1.75,2.77,0.54,0.58,2.56,3.82,0.58,1.39,1.82,3.18,0.41
 卜蜂,1215,,15.15,10.18,4.76,13.68,9.36,5.49,3.38,15.8,11.3,8.1,4.23,9.39,5.38,1.72,1.43,6.47,4.73,0.99
 統一,1216,,12.91,8.93,4.03,14.1,12.59,9.08,4.31,12.62,10.58,8.24,4.62,15.75,13.48,8.57,4.45,14.79,12.17,7.62
 愛之味,1217,,-0.87,-1.4,-0.54,0.61,0.88,-2.17,-1.16,-6.2,-5.62,-4.9,-2.47,-0.94,-1.19,0.12,0.21,0.98,1.34,0.27
 泰山,1218,,7.74,3.76,1.54,3.66,2.34,-0.67,-0.29,2.1,2.24,0.08,0.73,-3.55,2.12,0.49,-0.03,-5.63,3.34,-0.6
 福壽,1219,,1.34,1.19,0.68,1.59,0.68,0.3,0.48,3.29,1.42,1.39,1.16,0.64,-1.17,-1.32,-0.93,-1.63,0.89,-0.4
 台榮,1220,,5.29,4.2,1.68,4.74,3.57,0.66,-0.17,1.87,2.2,1.71,1.05,1.79,2.87,0.95,1.41,6.68,5.7,3.03
 福懋油,1225,,9.9,6.78,3.25,18.45,3.67,1.54,1.1,2.17,-0.55,1.62,1.45,2.79,1.53,1.73,0.96,1.75,3.76,0.11
 佳格,1227,,14.07,9.73,6.33,21.5,17.08,10.71,7.33,18.22,14.13,8.09,4.87,17.9,14.16,10.37,6.75,23.51,17.32,11.27
 聯華,1229,,7.73,4.55,1.66,6.71,6.34,4.57,1.31,7.93,7.34,5.28,3.09,6.5,4.89,2.91,1.14,7.58,5.3,3.97
 聯華食,1231,,11.13,7.15,4.38,13.22,9.32,4.96,3.69,8.65,3.82,1.71,1.05,13.96,9.23,6.81,4.68,16,12.73,7.86
 大統益,1232,,17.71,12.73,4.66,25.3,19.85,12.49,6.6,29.42,18.58,14.15,8.72,23.24,16.87,13.57,6.94,15,14.47,10.12
 天仁,1233,,8.88,6.69,3.46,14.4,9.67,6.62,4.06,15.84,12.87,9.53,5.65,15.62,12.69,8.47,4.57,14.99,13.03,8.68
 黑松,1234,,5.68,4.37,0.5,3.57,3.26,1.6,0.71,2.25,1.79,0.68,0.36,1.64,-0.94,-2.15,0.51,48.98,2.8,1.26
 興泰,1235,,12.24,7.62,5.21,3.48,1.83,-2.63,-0.02,4.82,11.05,6.16,2.95,-4.97,-4.04,-5.19,-3.62,1.38,2.04,-4.31
 宏亞,1236,,0.44,-0.42,1.68,5.38,3.31,2.78,3.91,9.84,7.47,6.69,1.34,9.02,3.58,3.44,4.2,9.57,0.44,-3.21
 鮮活果汁-KY,1256,,23,13,4.39,24.54,22.85,15.99,5.64,33.36,30.1,20.2,8.51,40.5,34.96,22.31,9.95,26.49,20.87,12.3
 其祥-KY,1258,,16.47,9.4,4.91,17.6,17.13,10.03,4.53,14.78,10.76,8.28,4.09,9.95,6.43,4.19,2.02,13.85,9.49,7.67
 安心,1259,,8.14,5.17,1.56,5.27,4.79,2.15,0.98,2.79,3.4,1.54,0.22,1.45,1.56,0.8,0.04,2.16,2.03,1.32
 綠悅-KY,1262,,12.9,8.51,3.85,16.23,12.11,8.12,3.78,20.88,14.77,10.26,5.21,30.08,22.35,14.5,10.96,64.6,,
 德麥,1264,,16.09,10.76,5.2,22.01,16.41,11.59,6.65,24.69,16.52,10.94,5.34,28.44,21.67,14.85,,37.48,,
 台塑,1301,,9.54,5.66,1.96,10.79,8.98,5.13,1.26,6.53,6.86,4.03,2.73,8.5,6.33,3.62,2.39,6.27,5.06,1.61
 南亞,1303,,6.55,4.13,1.55,10.75,9.35,6.37,2.44,10.43,9.53,6.42,3.13,9.13,7,4.07,2.69,1.34,1,-0.73
 台聚,1304,,5.65,4.12,1.44,5.05,3.81,3.54,1.28,2.1,2.34,1.32,0.6,5.5,4.53,3.38,2.03,9.12,8.98,6.54
 華夏,1305,,13,9.02,2.85,13.13,8.81,7.25,2.87,2.4,3.3,2.43,2.65,13.89,11.37,9.01,6.12,17.52,14.89,10.53
 三芳,1307,,11.13,7.6,4.46,13.54,10.47,6.57,3.59,13.12,10.13,7.17,3.69,11.73,8.27,5.46,3.23,10.79,7.95,5.18
 亞聚,1308,,5.01,3.39,1.09,5.99,4.58,3.4,1.34,5.48,4.69,2.96,1.15,5.76,4.49,3.14,1.38,6.74,6.82,4.69
 台達化,1309,,0.54,1.88,1.47,1.97,2.63,7.68,2.36,-16.69,-10.52,-7.45,-5.34,0.43,2.37,2.56,1.29,-1.55,-1.74,-3.67
 台苯,1310,,14.37,8.91,5.84,9.37,9.28,8.41,0.52,-5.53,4.06,5.27,0.2,18.06,13.98,4.7,0.51,-9.03,-7.54,-8.1
 國喬,1312,,8.32,5.18,3.13,8.98,7.9,6.74,1.81,2.72,2.91,1.54,0.86,12.58,9.29,5.07,1.32,12,10.96,9.03
 聯成,1313,,3.32,1.9,0.18,-0.94,1.69,2.95,0.47,-1.29,0.28,-0.6,-0.85,3.2,2.5,0.85,0.93,6.76,6.25,2.61
 中石化,1314,,-2.74,-2.71,-1.37,0.16,0.27,0.99,0.34,0.55,2.52,3.01,-0.4,10.3,-2.93,-2.15,-0.62,3.8,5.45,6.51
 達新,1315,,3.09,0.61,0.43,3.48,2.95,0.36,0.04,3.07,2.15,0.19,-0.04,2.31,2.18,0.77,0.07,2.3,3.01,0.24
 上曜,1316,,-4.43,-3.35,-1.72,-6.91,-4.93,-3.39,-2.69,-2.26,-8.78,-5.53,-2.24,-16.05,-11.66,-6.49,-2.28,-10.86,-5.3,-3.22
 東陽,1319,,8.96,6.07,3.28,9.33,5.73,3.15,2.38,5.32,5.14,3.82,2.24,8.17,6.42,4.42,2.01,5.16,4.18,2.8
 大洋,1321,,1.06,0.37,0.07,0.75,1.43,0.56,0.09,-2.89,-1.81,-0.52,0.03,0.26,0.81,0.17,0.03,-2.45,-1.6,-1.32
 永裕,1323,,13.49,8.36,3.75,15.25,10.44,6.16,3.04,19.22,14.06,8.7,4.36,19.11,14.29,9.65,4.37,15.65,11.68,7.94
 地球,1324,,5.01,3.94,1.75,5.94,4.42,2.28,0.72,4.35,3.66,2.56,1.48,4.35,3.45,2.69,1.41,3.65,2.06,0.56
 大,1325,,3.89,3.39,1.78,5.09,3.62,1.87,0.95,2.96,1.39,0.86,1.09,3.79,2.67,2.11,1.33,3.94,2.76,1.7
 台化,1326,,11.43,6.66,2.3,9.63,7.67,4.81,0.63,4.41,6.12,3.31,2.02,9.11,7.97,4.6,3.07,2.9,1.55,-0.84
 恩得利,1333,,-7.13,-6.32,-4.61,-6.76,-0.21,-0.51,0.77,-17.31,-12.98,-14.19,-12.04,-4.13,1.73,3.78,1.36,-9.43,-8.88,-9.46
 台翰,1336,,-9.87,-6.47,-2.01,-10.11,-8.59,-6.33,-2.23,-2.57,2.03,1.9,1.39,0.41,-1.28,-0.43,0.39,-3.32,-3.39,-2.69
 再生-KY,1337,,3.84,2.5,1.1,3.83,2.07,1.01,0.67,11.96,9.96,7.09,3.41,15.53,13.1,7.67,2.88,22.6,20.05,13.3
 廣華-KY,1338,,6.9,4.83,2.7,11.83,8.77,6.11,2.95,11.58,8.28,6.1,2.59,10.15,6.07,3.26,1.18,8.19,8.66,6.13
 昭輝,1339,,3.75,3.17,1.6,13.86,9.81,5.31,3.08,16.97,12.36,8.91,4.82,13.6,9.51,7.61,4.42,11.69,8.06,5.2
 勝悅-KY,1340,,12.1,7.79,3.03,16.11,11.96,7.35,3,22.6,16.87,11.15,4.96,27.97,20.86,12.71,6.12,33.98,,
 遠東新,1402,,3.61,2.39,0.99,5.61,4.77,3.9,1.74,6.5,5.59,3.9,1.36,8.25,5.79,3.91,1.44,8.81,7.3,5.74
 新纖,1409,,2.01,1.27,0.59,2.42,2.86,1.03,0.65,5.02,4.52,3.25,2.02,5.23,4.48,2.84,1.01,4.83,3.79,2.23
 南染,1410,,7.65,5.58,2.54,10.47,8.24,5.36,1.95,8.64,6.51,3.17,1.18,7.41,5.78,3.66,1.41,9.09,7.41,4.64
 宏洲,1413,,-5.13,-2.22,-0.4,0.44,-3.84,0.97,-5.05,-29.92,-19.59,-7.73,-5.21,-26.92,-18.42,-16.56,-5.94,-20.19,-8.8,-5.49
 東和,1414,,-0.25,-0.19,-0.14,0.23,-0.27,-0.66,-0.52,1.43,0.61,0.92,0.65,4.22,3.57,2.72,1.01,2.88,2.16,1.25
 廣豐,1416,,25,21.14,7.35,-0.68,0.54,1.85,2.84,8.85,4.24,0.83,-0.77,1.07,-2.02,-1.21,-0.15,18.72,15.74,16.23
 嘉裕,1417,,-2.82,-0.64,-2.88,-8.48,-6.75,-3.9,-1.95,0.63,0.12,1.61,1.93,0.38,-2.2,-1.51,-0.22,3.79,3.52,3.46
 東華,1418,,-26.08,-11.78,-5.29,-29.72,-17.16,-13.4,-9.17,-20.09,-11.66,-6.19,-4.82,-12.86,-9.85,-6.73,-2.5,-17.1,-15.12,-6.48
 新紡,1419,,1.85,-0.38,-0.22,1.53,1.82,-0.66,-0.35,1.43,1.95,0.85,-0.16,2.36,2.54,1.66,-0.19,3.2,3.04,0.37
 利華,1423,,0.5,0.36,0.19,-1.39,-0.73,-0.09,-0.71,-2.83,-2.46,-1.68,-1.56,-0.14,-0.98,-0.63,0.8,-4.19,-3.85,-1.15
 大魯閣,1432,,-7.63,-1.42,3.16,-7.88,-5.05,-4.96,-2.1,-3.13,-0.98,-3.26,-1.29,-6.08,-5.05,-4.15,-3.87,44.88,-6.13,-5.08
 福懋,1434,,5.72,2.18,1.24,5.95,4.67,2.6,1.17,7.18,5.7,2.62,1.1,4,3.1,2.29,0.98,4.49,4.14,2.13
 中福,1435,,-0.69,-0.7,-0.66,-0.38,0.07,0,0.08,-0.17,0.1,0,0,-1.18,-0.26,-0.31,-0.13,0.11,1.01,1.42
 華友聯,1436,,1.57,0.73,-1,-1.65,-1.87,-1.26,-0.3,14.55,13.11,10.09,0.1,-0.54,-0.81,-0.57,-0.15,-5.12,-5.35,-6.68
 勤益控,1437,,8.07,6.86,1.32,1.12,1.55,1.08,0.73,4.69,4.51,4.21,2.14,-12.52,-2.83,-1.12,-0.76,0.26,-1.05,-0.23
 裕豐,1438,,-0.65,-0.46,-0.26,2.02,2.87,2.09,2.4,0.68,-0.58,-0.39,-0.15,5.73,4.39,3.26,0.67,2.53,3.21,1.37
 中和,1439,,-0.09,-0.29,-0.17,0.03,0.03,0.02,0.01,0.04,-0.09,-0.19,-0.13,0.08,0.09,0.08,0.12,-0.39,-0.28,-0.26
 南紡,1440,,1.44,0.7,0.04,4.43,3.68,2.34,0.74,1.47,1.34,0.87,0.41,4.79,4.2,2.98,1.37,2.73,1.54,0.77
 大東,1441,,-23.42,-12.84,-3.41,-10,-6.96,-4.76,-3.81,-19.87,-10.5,-4.45,-1.49,-1.13,-1.02,0.57,0.53,0.72,-2.14,-0.32
 名軒,1442,,10.59,2.6,0.17,12.27,9.79,8.07,0.88,9.5,6.3,5.23,2.73,32.79,32.09,26.29,8.93,9.04,7.73,7.14
 立益,1443,,-28.08,-19.73,-14.06,-18.94,-10.97,-11.54,-8.16,-17.89,-27.09,-11.88,-5.12,-11.02,-6.7,-2.4,-0.49,-17.38,-11.91,-9.87
 力麗,1444,,-1.2,0.49,-0.05,3.35,2.85,1.68,0.73,1.9,1.35,0.59,0.87,5.79,5.31,2.93,1.68,6.5,4.8,-1.37
 大宇,1445,,2.79,2.08,0.68,4.7,3.69,2.13,0.87,1.53,1.15,1.08,0.56,3.41,3.07,2.16,0.92,1.21,1.2,1.02
 宏和,1446,,2.85,0.94,0.15,-2.07,-0.03,0.05,0.27,0.7,0.94,1.04,0.8,-0.59,0.25,0.79,0.62,-1.44,-0.39,0.44
 力鵬,1447,,-2.78,-1.18,-1.8,0.43,1,0.24,-1.07,3.24,3.5,1.59,2.08,10.75,8.69,5.93,3.69,0.28,-2.73,-6.02
 佳和,1449,,-17.7,-15.93,-10.54,-21.76,-20.81,-14.96,-5.07,-0.5,-17.04,-11.61,-9.17,-14.28,-17.07,-8.66,-10.24,-75.49,-59.71,-11.8
 年興,1451,,6.14,4.45,2.3,6.64,4.19,0.96,0.46,6.71,5.52,4,2.42,7.74,6.4,4.06,1.47,7.02,6.76,5.24
 宏益,1452,,5.88,3.3,1.55,15.98,14.51,10.71,3.89,8.11,6,3.76,1.84,6.69,3.96,2.49,1.46,4.36,4.36,2.04
 大將,1453,,-0.08,-0.01,0.54,5.52,6.35,7.21,-1.75,-4.8,-3.32,-2.14,-0.41,1.97,-0.75,0.46,-0.21,12.96,4.61,-0.7
 台富,1454,,2.84,2.15,0.47,6.33,5.35,3.83,1.58,4.18,3.04,1.28,0.41,2.28,2.15,1.31,0.13,-1.17,-0.45,-0.37
 集盛,1455,,1.28,0.88,0.21,1.77,1.49,2.71,-0.9,0.76,0.4,0.07,1.06,5.01,3.71,3.01,2.23,-1.43,-2.1,-2.64
 怡華,1456,,-3.07,-2.77,-2.44,11.2,-6.09,-4.49,-2.31,-129.93,-129,-14.15,-3.74,2.05,-9.88,-6.12,-1.41,-151.34,-110.89,-68.49
 宜進,1457,,1.04,1.19,0.63,9.67,8.95,9.24,2.48,2.43,3.4,2.7,0.54,4.8,2.16,0.13,0.07,2.01,2.63,2.99
 聯發,1459,,-1.7,-1,-0.58,6.01,6.5,5.28,2.16,4.36,3.65,0.94,0.32,4.54,0.82,-0.52,-0.29,-1.09,-1.25,-1.39
 宏遠,1460,,6.48,4.27,2.41,9.42,5.66,3.76,2.28,8.08,4.81,3.16,1.72,5.29,3.36,2.82,1.76,14.53,14.68,14.56
 強盛,1463,,5.07,3.22,1.55,4.17,2.57,1.37,1.09,2.8,2.38,1.43,0.54,2.77,-0.2,-0.23,-0.03,-2.48,-2.24,-1.53
 得力,1464,,6.48,4.2,2.48,9.89,7.38,4.85,2.11,28.19,1.41,1.11,0.09,-1.54,-0.84,0.12,0.02,2.21,0.24,0.33
 偉全,1465,,2.8,2,1.05,5.6,4.58,2.21,1.32,6.63,5.27,4.09,1.98,6.37,4.26,2.67,0.59,4.8,3.43,2.58
 聚隆,1466,,-4.56,-3.81,-2.54,0.42,0.64,-0.52,0.01,3.04,1.76,1.87,1.27,6.17,4.75,2.52,1.29,6.1,4.33,2.96
 南緯,1467,,-0.05,-1.37,-1.05,-1.89,-0.27,-0.8,-0.36,2.33,2.35,-0.09,0.09,4.5,5.42,2.77,1.63,8.87,9.63,8.24
 昶和,1468,,-2.1,0.71,-0.11,-4.97,-3.5,-2.12,-0.86,-5.22,-3.2,-1.94,-1.68,-3.72,-5.03,-1.64,-1.68,-18.26,-13.35,-7.7
 理隆,1469,,-1.86,-0.79,-0.35,-0.33,0.29,0.44,-0.58,0,0.45,0.21,-0.26,0.49,0.65,0.55,0.67,1.53,2.28,1.17
 大統染,1470,,3.31,3.02,1.69,6.4,4.53,2.78,1.59,7.14,5,4.18,2.18,3.28,2.02,1.09,0.82,1.67,0.85,1.38
 首利,1471,,-11.89,-7.4,-4.01,-14.51,-9.31,-7.51,-3.23,-2.96,-2.32,-2.54,-1.78,1.2,-0.1,0.71,-0.64,-10.81,-6.02,-6.04
 三洋紡,1472,,15.34,16.4,22.22,-11.38,-5.88,-2.09,-9.17,-18.99,-14.33,-11.08,-5.43,-28.65,-23.34,-23.36,-9.71,-37.69,-19.23,-18.35
 台南,1473,,5.73,3.77,3.91,-4.35,-3.16,-2.72,0.42,-2.95,-4.79,-2.62,-0.04,-1.55,-0.83,0.75,1.77,0.41,-1.6,-2.49
 弘裕,1474,,4.72,3.53,1.73,5.03,4.51,2.56,1.08,3.22,1.37,0.72,0.31,4.13,1.65,0.79,0.4,-4.43,-0.6,0.43
 本盟,1475,,-31.97,-14.07,-1.33,-18.73,-30.18,-24.6,-10.46,-28.29,-23.75,-15.92,-6.66,-64.84,-33.42,-16.36,-15.05,-49.05,-34.34,-21.39
 儒鴻,1476,,18.11,11.79,4.89,39.28,29.86,18.28,7.12,34.15,25.1,15.52,7.77,37.3,28.09,18.6,8.59,32.24,23.04,15.99
 聚陽,1477,,15.17,10.81,6.85,25.2,20.43,13.57,7.58,25.28,20.09,16.43,8.74,26.83,21.72,14.67,7.84,25.88,21.86,15.02
 士電,1503,,4.97,3.22,1.75,5.98,4.5,3.07,1.79,6.29,4.99,3.17,1.72,6.06,4.53,2.66,1.45,5.09,4.48,3.24
 東元,1504,,5.61,3.74,1.48,6.71,5.51,3.48,1.55,8.8,7.53,5.25,1.99,9.71,7.61,4.99,2.13,8.11,5.95,3.43
 正道,1506,,1.07,0.88,0.55,2.41,2.32,0.69,0.39,0.56,0.5,-0.32,-0.64,-7.06,-3.12,-2.44,-1.62,-5.89,-0.34,0.6
 永大,1507,,11.05,7.28,3.95,15.62,12.57,8.26,4.17,18.46,15.04,8.77,4.17,17.63,12.13,7.09,3.56,13.58,10.28,5.81
 瑞利,1512,,-10.09,-5.31,-1.28,-9.02,-10.08,-9.39,-3.29,-11.88,-10.48,-7.34,-3.86,-5.66,-8.08,-4.69,-1.17,1.96,1.03,0.31
 中興電,1513,,6.47,3.8,1.91,7.17,7.05,2.98,1.54,8.59,5.03,3.2,1.15,7.45,4.44,3.33,1.43,7.1,5.86,3.39
 亞力,1514,,3.83,3.63,3.07,4.32,4.03,1.57,0.73,4.14,1.97,0.58,0.86,2.59,1.99,1.95,1.1,4.27,3.69,1.94
 力山,1515,,4.11,0.99,0.15,5.32,5.27,0.28,0.7,6.13,2.71,0.3,0.4,9.41,6.48,5.78,0.55,3.2,2.23,1.66
 川飛,1516,,6.3,6.06,5.04,25.18,28.67,29.25,30.19,17.15,6.76,2.54,0.9,3.26,2.42,0.87,0.76,-59.01,-55.82,-59.05
 利奇,1517,,0.96,0.52,0.12,3.98,3.59,1.85,0.26,6.73,5.24,3.15,1.88,10.79,6.89,4.02,1.79,8.57,5.66,3.24
 華城,1519,,7.65,4.17,-1.11,7.14,4.8,3.51,-0.09,8.53,3.94,1.95,1.44,3.94,2.96,1.11,0.43,2.31,-2.23,-3
 大億,1521,,19.86,15.7,8.39,25.87,21.79,15.96,9.63,22.64,17.82,12.51,6.19,19.32,12.38,7.71,3.39,16.8,12.77,9.94
 堤維西,1522,,12.32,8.41,3.96,13.58,9.49,4.73,2.37,10.36,7.03,4.73,3.45,3.54,4.29,4.45,2.26,-2.06,-1.19,-0.06
 耿鼎,1524,,7.09,5.52,2.6,-9.65,-13.13,-15.12,-10.94,0.32,0.08,0.21,0.62,-2.47,-0.19,0.6,0.2,-6.08,-3.64,-2.32
 江申,1525,,11.33,7.54,3.81,13.47,8.42,5.69,2.9,10.83,8.14,5.35,2.58,11.23,8.2,4.47,1.92,12.46,9.96,7.29
 日馳,1526,,8.69,8.06,1.82,12.74,12.54,4.33,0.83,10.65,7.63,5.3,2.6,7.55,5.57,4.22,2.08,3.27,2.11,1.13
 鑽全,1527,,15.92,14.9,4.79,29.58,21.78,2.59,1.5,32.87,20.87,10.85,9.3,20.95,15.44,14.49,8.1,2.3,1.79,3.33
 恩德,1528,,2.63,2.24,1.1,-1.95,0.39,0.36,0,0.77,0.1,1.6,1.23,5.1,3.96,3.64,1.04,4.04,3.01,1.67
 樂士,1529,,-0.48,1.46,5.9,-54.65,-10.35,-7.11,-1.42,-14.12,-8.83,-10.71,-1.38,-17.51,-14.26,-1.65,-1.28,-39.62,-38.37,-37.22
 亞崴,1530,,3.05,2.37,0.82,10.1,8.69,2.91,2.46,11.02,7.39,4.64,2.84,10.02,6.73,5.28,3.06,11.93,10.59,6.61
 高林股,1531,,1.67,1.13,0.18,3.5,3.14,1.6,0.49,4.79,3.4,2.67,1.78,6.58,5.27,3.98,2.02,7.48,4.72,1.39
 勤美,1532,,6.47,3.26,1.77,9.6,6.33,3.36,1.94,6.07,2.57,1.61,0.97,21.59,7.15,4.75,2.05,7.93,5.25,3.81
 車王電,1533,,2.64,1.7,1.21,7.16,5.38,2.14,0.93,10.67,8.27,6.45,4.15,10.46,7.51,4.1,1.94,4.04,6.12,4.92
 中宇,1535,,5.89,4.11,2.04,14.27,10.78,7.4,3.62,19.71,14.04,8.41,4.16,20.58,15.9,11.53,6.15,24.4,20.4,13.98
 和大,1536,,20.3,14.91,6.46,30.37,22.96,13.57,6.01,23.12,16.5,10.69,5.23,17.25,12.36,8.13,4.87,13.64,11.03,8
 廣隆,1537,,19.75,13.23,5.49,24.57,18.65,11.13,5.17,23.1,17.19,10.95,5.28,22.07,17.42,12.66,7.09,27.08,19.6,11.5
 正峰新,1538,,-0.46,-0.52,0.01,-6.99,-1.78,-22.29,-11.35,-6.4,-1.72,2.33,2.82,-43.37,-15.45,-10.91,-6.88,-15.03,-10.7,-7.12
 巨庭,1539,,11.48,9.98,5.68,24.58,22.56,9.56,5.55,17.25,13.58,8.21,3.65,13.87,12.28,9.53,4.75,-2.59,-2.37,-2.31
 喬福,1540,,1.46,1.47,0.93,4.15,6.1,3.66,2.97,14.43,8.67,6.28,3.73,8.99,5.99,5.03,2.52,7.13,8.94,6.87
 錩泰,1541,,19.63,15.33,7.23,25.37,20.6,7.32,3.2,16.94,10.53,5.43,4.39,-2.57,0.01,1.67,-0.71,-8.63,-3.22,-1.19
 伸興,1558,,13.95,8.25,2.06,20.55,16.59,7.95,2.85,21.39,16.31,8.82,3.93,22.74,21.65,12.95,5.41,25.33,20.74,11.64
 中砂,1560,,9.53,6.17,2.52,15.28,12.36,8.41,3.87,17.45,13.47,9.6,4.09,14.64,10.94,7.16,3.28,12.21,8.74,5.61
 精華,1565,,27.85,19.18,8.52,32.61,24.54,14.29,6.41,38.27,30.73,23.23,12.11,45.3,35.03,24.16,11.14,39.76,30.02,19.89
 捷邦,1566,,2.4,0.49,0.04,12.36,4.33,1.49,0.54,1.29,-0.94,-4.21,-2.04,-0.42,2.97,1.15,3.33,-0.13,4.63,-1.39
 倉佑,1568,,7.95,5.34,2.87,9.51,6.33,3,1.04,8.83,6.49,4.37,3.32,7.68,4.53,2.64,1.22,10.4,,5.56
 濱川,1569,,4.71,0.82,-1.02,-15.34,-17.02,-12.39,-4.99,-3.14,-2.53,-2.85,-3.01,-2.07,-2.49,0.12,0.22,6.49,6.24,5.72
 力肯,1570,,4.9,3.13,2.35,15.22,14.33,7.33,3.65,15.79,14.62,11.21,3.36,20.17,14.93,11.4,6.67,-0.24,-0.65,-0.98
 新麥,1580,,21.35,12.08,3.12,26.56,18.02,10.82,4.42,32.29,23.08,13.72,3.69,35.66,25.76,13.91,4.59,32.34,23.3,14.87
 信錦,1582,,12.19,6.68,2.71,14.16,10.97,6.24,2.83,16.32,12.09,7.53,2.51,14.22,11.18,6.67,2.89,17.68,14.72,9.68
 程泰,1583,,3.49,2.62,1.31,15.06,12.22,5.19,3.2,18.46,11.51,7.2,3.67,12.7,8.74,6.33,3.53,14.12,12.45,8.89
 精剛,1584,,0.23,0.15,-0.63,-8.48,-1.87,-0.09,-0.43,-3.94,-4.48,-4.21,-2.2,-13.71,-10.28,-7.68,-3.59,-5.83,-2.63,-0.38
 和勤,1586,,-5.34,-2.97,-0.01,-1.17,-2.77,-1.3,0.25,5.35,3.96,2.7,1.95,3.54,1.7,1.28,0.8,0.83,-0.41,0.34
 永冠-KY,1589,,7.56,6,2.76,14.42,10.36,6.48,2.85,13.96,10.76,7.96,3.23,9.02,6.73,3.59,1.45,6.87,4.94,2.94
 亞德客-KY,1590,,16.16,10.07,4.15,13.44,10.42,8.13,2.46,18.7,15.04,11.27,4.18,23.5,21.31,13.72,4.5,19.97,15.86,10.82
 駿吉-KY,1591,,10.48,6.6,2.11,11.11,9.63,7,5.05,11.35,8.68,6.23,3.15,14.55,10.93,7.92,3.99,22.31,17.59,12.58
 英瑞-KY,1592,,12.08,8.18,3.96,6.31,5.76,2.99,1.58,6.1,4.93,4.24,1.72,17.63,5.04,2.88,0.66,19.98,,
 祺驊,1593,,8.9,5.39,1.99,11.43,7.24,2.31,1.72,7.62,5.91,2.37,1.37,5.73,3.98,1.42,1.47,5.61,3.63,1.7
 川寶,1595,,2.86,1.8,0.74,11.29,10.75,6.51,3.57,16.72,17.06,11.3,5.39,14.92,13.97,9.96,4.33,16.84,14.44,8.43
 直得,1597,,4.75,3.95,1.49,5.43,3.85,0.48,-1.47,1.56,1.31,0.66,-0.26,4.35,4.46,2.92,0.72,5.8,7.33,4.74
 岱宇,1598,,6.87,6.79,4.63,18.63,11.14,-0.65,1.29,26.63,,6.11,,2.67,,0.98,,2.76,,-11.94
 宏佳騰,1599,,14.92,5.76,3.92,25.02,15.75,5.58,-0.25,5.99,1.87,-1.21,-0.76,10.47,7.15,0.72,-2.23,14.49,8.94,2.54
 華電,1603,,6.57,2.82,1.43,8.26,5.78,2.86,2.01,4.72,2.53,1.78,0.66,4.94,3.38,1.8,0.25,8.17,6.09,2.28
 聲寶,1604,,10.04,8.35,3.42,6.69,6.19,4.49,1.92,8.23,7.75,4.73,2.09,6.41,7.48,4.07,1.65,6.97,6.6,4.67
 華新,1605,,5.58,3.23,1.5,2.68,1.89,0.85,-0.3,3.97,3.65,0.98,-0.31,-3.92,1.58,0.88,0.3,-5.17,-5.8,-1.99
 華榮,1608,,-0.35,-1.07,-0.17,-4.25,-4.84,-1.55,-1.1,0.86,1.68,1.44,-0.31,4.79,1.23,-1.34,2.55,6.39,5.99,3.26
 大亞,1609,,0.54,-1.47,-2.07,-7.09,-6.35,-2.93,-1.28,0.71,0.04,0.1,-0.63,1.63,-0.84,-1.64,0.34,2.52,2.89,0.67
 中電,1611,,-1.52,-0.86,-0.08,0.23,1.38,-3.61,-0.85,-5.06,0.02,0.02,0.04,-9.43,0.14,0.07,1.24,1.56,0.89,4.45
 宏泰,1612,,1.55,0.39,0.08,0.84,0.72,0.93,0.49,5.29,4.45,3.52,1.85,0.87,0.65,0.11,0.42,1.37,3.61,2.31
