CompanyName,Q32016,Q22016,Q12016,Q42015,Q32015,Q22015,Q12015,Q42014,Q32014,Q22014,Q12014,Q42013,Q32013,Q22013,Q12013,Q42012,Q32012,Q22012,Q12012
2324 仁寶,107827285 ,107267983 ,110623522 ,109598116 ,107247154 ,102251379 ,108855141 ,106219937 ,99131794 ,94797133 ,97034622 ,99962272 ,110710312 ,114192406 ,118697991 ,115368547 ,113120897 ,112038908 ,116470993 
2325 矽品,64284689 ,62879271 ,72408504 ,70600642 ,69238748 ,67922485 ,75035155 ,72106619 ,68183603 ,66042581 ,65794345 ,62469936 ,60327604 ,58328384 ,59765231 ,59708219 ,58993464 ,56954402 ,60535463 
2327 國巨,23306943 ,22891401 ,25470025 ,25298526 ,25352622 ,24398294 ,26462383 ,25719143 ,24434590 ,38398888 ,38652289 ,29325207 ,28733674 ,34822376 ,34185662 ,34115789 ,34087077 ,33940325 ,33833677 
2328 廣宇,11228386 ,11498759 ,11308518 ,11316515 ,11075494 ,11286167 ,11658956 ,11951722 ,11515693 ,11258024 ,11363772 ,11380320 ,11416308 ,11530544 ,11995012 ,11442020 ,10669483 ,10738933 ,10864844 
2329 華泰,6629719 ,6575107 ,6376584 ,6164037 ,5885882 ,5621982 ,5382822 ,5163963 ,4834588 ,4602234 ,4493241 ,4549067 ,4479708 ,4489761 ,4579512 ,4588225 ,4699298 ,4736530 ,4698426 
2330 台積電,1283892649 ,1197330978 ,1280946076 ,1222634479 ,1150994944 ,1066627555 ,1123915753 ,1046328332 ,957244985 ,877651007 ,898692792 ,847775085 ,804174761 ,746236271 ,768649085 ,725753699 ,677146057 ,630057648 ,663582409 
2331 精英,11699516 ,11489857 ,14463011 ,14453801 ,14613421 ,13895496 ,16459917 ,16218009 ,15716915 ,15251567 ,18949086 ,18386305 ,15684467 ,15324860 ,19949374 ,19511634 ,19448172 ,19578776 ,22149143 
2332 友訊,9749804 ,10219487 ,10857617 ,11045559 ,11830706 ,12162728 ,12430647 ,13201632 ,12962052 ,13260374 ,13947538 ,13596350 ,13182216 ,13008827 ,13811790 ,13873024 ,13858184 ,13698180 ,14591340 
2337 旺宏,17576566 ,16721508 ,17505926 ,18428840 ,20217819 ,21188563 ,22509468 ,22605530 ,24711236 ,25770525 ,27605661 ,28725798 ,30096810 ,31035354 ,32961106 ,35296617 ,37150049 ,38375593 ,41208134 
2338 光罩,3286709 ,3351556 ,3473059 ,3617626 ,3603282 ,3584080 ,3872578 ,3883613 ,3904372 ,3896822 ,4015532 ,3989939 ,3944530 ,3936498 ,4064890 ,4097503 ,4115101 ,4106914 ,4384373 
