CompanyName,Q32016,Q22016,Q12016,Q42015,Q32015,Q22015,Q12015,Q42014,Q32014,Q22014,Q12014,Q42013,Q32013,Q22013,Q12013,Q42012,Q32012,Q22012,Q12012
1101 台泥,145457904 ,146772743 ,154750268 ,155484252 ,157639379 ,150965857 ,162219457 ,162017681 ,153411035 ,147496365 ,158255100 ,153618577 ,145196356 ,139207168 ,145365698 ,131743600 ,127124066 ,123579569 ,131463919 
1102 亞泥,139318938 ,140637736 ,146110347 ,154854192 ,160453437 ,158949052 ,167234786 ,161727226 ,152157576 ,148259570 ,153439183 ,152842202 ,145455059 ,143348491 ,146042240 ,100225003 ,97756450 ,96257161 ,103924561 
1103 嘉泥,15891795 ,13342739 ,13984333 ,14046346 ,14090025 ,17235969 ,18648492 ,19282058 ,19135418 ,18791647 ,21493908 ,21498297 ,17460727 ,15769322 ,16395990 ,16458506 ,15749982 ,16626371 ,18661364 
1104 環泥,16205886 ,16172720 ,16363447 ,16000386 ,15981328 ,15760747 ,16105747 ,15797970 ,15172677 ,14753150 ,14910655 ,14539149 ,13746849 ,13566005 ,13731718 ,13383232 ,13305216 ,13112141 ,13272545 
1108 幸福,4771928 ,4696296 ,4945380 ,4845664 ,4774614 ,4669070 ,4771744 ,4615114 ,4508251 ,4443999 ,4484045 ,4403404 ,4399720 ,4346426 ,4283174 ,4201497 ,4236893 ,4196348 ,4234993 
1109 信大,6266429 ,6280820 ,6353801 ,6387928 ,6442124 ,6843029 ,7007616 ,7032121 ,6900056 ,6802690 ,7223050 ,7126364 ,6908200 ,6914699 ,6971521 ,6717088 ,6625064 ,6701918 ,6840055 
1110 東泥,8701916 ,8732738 ,8916640 ,8639693 ,8597414 ,8813796 ,8955192 ,8859325 ,8901673 ,8869812 ,8866521 ,8714799 ,8668372 ,8504676 ,8590987 ,8340911 ,8417948 ,8354556 ,8368929 
1201 味全,7865890 ,7961856 ,8390843 ,8470547 ,9660482 ,10370222 ,10689261 ,11088557 ,11775579 ,11785351 ,11801098 ,11528095 ,11371972 ,11112422 ,11128099 ,10998157 ,10992402 ,10332341 ,10127857 
1203 味王,5073617 ,5065874 ,5275251 ,5166649 ,5205951 ,5047719 ,5352881 ,5149894 ,5050564 ,4925232 ,5122088 ,4897494 ,4814357 ,4722040 ,4817648 ,4726884 ,4688194 ,4639525 ,4738247 
1210 大成,19860752 ,19620494 ,19762567 ,19248606 ,19758503 ,19155682 ,20121996 ,19944399 ,19768283 ,19291925 ,19417543 ,18788276 ,17273679 ,17004559 ,17501940 ,16926053 ,16864277 ,16246967 ,16821747 
1213 大飲,697985 ,690945 ,683773 ,678780 ,691834 ,673579 ,673335 ,662269 ,670082 ,654263 ,654532 ,650749 ,658998 ,637997 ,643170 ,635206 ,644252 ,626684 ,631725 
1215 卜蜂,6265958 ,5792554 ,5782105 ,5184585 ,5116156 ,5098888 ,5217913 ,5357426 ,5219975 ,4823436 ,4907657 ,4872605 ,4233594 ,4197757 ,4908941 ,4834337 ,4708073 ,4851281 ,4827021 
1216 統一,151491180 ,148388255 ,161462195 ,155689737 ,156803828 ,147658166 ,156130138 ,150639133 ,144353946 ,138815872 ,144847461 ,138066611 ,132521851 ,128253637 ,133195918 ,130787521 ,123937782 ,119188262 ,123470490 
1217 愛之味,5871401 ,5933582 ,5990262 ,6094148 ,6183377 ,6257395 ,6185992 ,6219281 ,6226815 ,6285477 ,6272567 ,6431190 ,6417839 ,6320575 ,5861173 ,5870446 ,5735132 ,5705813 ,5737536 
1218 泰山,3676183 ,3538579 ,3465183 ,3409036 ,3415232 ,3326376 ,3337804 ,3355162 ,3371814 ,3304326 ,3328030 ,3306713 ,3502446 ,3453659 ,3423260 ,3539636 ,3911504 ,3753049 ,3789053 
1219 福壽,3893529 ,3889351 ,3950911 ,3923965 ,3910922 ,3893323 ,3957891 ,3939646 ,3736335 ,3733416 ,3773456 ,3735876 ,3669998 ,3664276 ,3709377 ,3792384 ,3891847 ,3841194 ,3969738 
1220 台榮,2348668 ,2305632 ,2333911 ,2306414 ,2279522 ,2173278 ,2221193 ,2216177 ,2225184 ,2223472 ,2280069 ,2254812 ,2261203 ,2199980 ,2287894 ,2296130 ,2276884 ,2207079 ,2184033 
1225 福懋油,3549532 ,3454637 ,3584849 ,3476501 ,2993278 ,2918135 ,2963338 ,2934442 ,2752902 ,2707904 ,2741260 ,2696705 ,2604906 ,2612246 ,2548583 ,2523884 ,2588598 ,2500682 ,2535502 
1227 佳格,13811357 ,13247132 ,14276686 ,13503473 ,13086593 ,12143255 ,12963168 ,12103187 ,11406669 ,10643610 ,11443004 ,10844244 ,10379914 ,9996952 ,10765697 ,10058152 ,9408055 ,8874254 ,9595578 
1229 聯華,22045724 ,20319096 ,20738107 ,20257353 ,20001954 ,21995567 ,21517538 ,21683868 ,20947672 ,21430033 ,21802643 ,20907309 ,19811970 ,18540963 ,20378575 ,19895289 ,21425728 ,21108440 ,21598689 
1231 聯華食,2920736 ,2810795 ,2936341 ,2813976 ,2726495 ,2602158 ,2705962 ,2610842 ,2488295 ,2440283 ,2559454 ,2534957 ,2416929 ,2359578 ,2442044 ,2382596 ,2338738 ,2227355 ,2273175 
1232 大統益,3542060 ,3349277 ,3882780 ,3706038 ,3470592 ,3193986 ,3821011 ,3576829 ,3165303 ,3014945 ,3476445 ,3186880 ,3005176 ,2900658 ,3169549 ,3004140 ,2924791 ,2791665 ,3103146 
1233 天仁,1347229 ,1338120 ,1477049 ,1453716 ,1381170 ,1362136 ,1507809 ,1452216 ,1392734 ,1343394 ,1520819 ,1474923 ,1417213 ,1347245 ,1527441 ,1584772 ,1588561 ,1535771 ,1723560 
1234 黑松,17769236 ,17546834 ,17492986 ,17417246 ,17441581 ,17178943 ,17512485 ,17369599 ,17281647 ,17088590 ,17835803 ,17775131 ,17383853 ,18485341 ,20342528 ,20286789 ,12872264 ,12677254 ,12894997 
1235 興泰,2926401 ,2226370 ,1767277 ,1433392 ,1308619 ,1190185 ,1290004 ,1267942 ,1603933 ,1194151 ,1013307 ,866187 ,949164 ,920989 ,941696 ,967415 ,979630 ,858844 ,923181 
1236 宏亞,1867260 ,1877125 ,1927205 ,1938486 ,1654678 ,1613435 ,1889495 ,1848397 ,1887332 ,1946329 ,1911473 ,1555431 ,1482234 ,1439943 ,1529635 ,1469870 ,1387542 ,1339216 ,1426961 
1256 鮮活果汁-KY,918575 ,852390 ,911206 ,876595 ,914915 ,811626 ,861850 ,822132 ,764918 ,667355 ,693262 ,639858 ,590401 ,524812 ,490150 ,430514 ,408372 ,297954 ,282540 
1258 其祥-KY,893847 ,858056 ,880972 ,775824 ,692390 ,654498 ,660344 ,666760 ,646466 ,630139 ,630540 ,589584 ,568251 ,565936 ,591513 ,571620 ,571620 ,563514 ,607432 
1259 安心,1692188 ,1650584 ,1683129 ,1657641 ,1654322 ,1567797 ,1627597 ,1616481 ,1627776 ,1575339 ,1622296 ,1618156 ,1623483 ,1613480 ,1682030 ,1678636 ,1677375 ,1668722 ,1618116 
1262 綠悅-KY,9903587 ,9812284 ,10337793 ,10098840 ,9910665 ,9280943 ,9341748 ,9130025 ,8214615 ,7729735 ,7893310 ,5599706 ,5170877 ,4921979 ,2214164 ,1925995 ,,,
1264 德麥,2274119 ,2170011 ,2403505 ,2282591 ,2178433 ,2059100 ,1828407 ,1670209 ,1524100 ,1431056 ,1515646 ,1264555 ,1186897 ,1118174 ,,762473 ,,,
1301 台塑,285896006 ,275971399 ,295251064 ,287434904 ,272307088 ,280577028 ,291668646 ,285150210 ,273842819 ,278756792 ,264140798 ,262436353 ,251236564 ,250652156 ,235263775 ,226620468 ,223454165 ,214553177 ,254364444 
1303 南亞,325828595 ,320630154 ,343872587 ,337951226 ,327865081 ,318053576 ,337221337 ,333031378 ,320350032 ,318887395 ,303396685 ,295347551 ,281024741 ,272387957 ,262327720 ,257744499 ,258319863 ,256368439 ,280210998 
1304 台聚,31398311 ,31243323 ,31557304 ,31049293 ,30825046 ,31124365 ,31327672 ,31097865 ,30932212 ,30636334 ,31616890 ,31293528 ,30755403 ,30683129 ,31868515 ,31189017 ,31389630 ,30517433 ,30703080 
1305 華夏,7179538 ,6889023 ,6968803 ,6785176 ,6506971 ,6393814 ,6233736 ,6078322 ,6131984 ,6084764 ,6479445 ,6312819 ,6178675 ,6038642 ,6035540 ,5799715 ,5670323 ,5443163 ,5282323 
1307 三芳,8424334 ,8307420 ,8717550 ,8466877 ,8228995 ,7543449 ,8015283 ,7807479 ,7282958 ,6954111 ,7351946 ,6980405 ,6688448 ,6573871 ,6893238 ,6638967 ,6423539 ,6324158 ,6532383 
1308 亞聚,9062836 ,8744600 ,8868174 ,8695706 ,8663026 ,8645154 ,9033180 ,9054021 ,8677418 ,8894895 ,9168022 ,9179564 ,9043144 ,8946995 ,9448693 ,9448618 ,9825274 ,9270400 ,9672064 
1309 台達化,3312534 ,3364933 ,3412449 ,3375083 ,3464609 ,3626238 ,3505560 ,3470574 ,3602541 ,3760964 ,3874839 ,4092193 ,4163866 ,4167879 ,4096585 ,4066123 ,4056604 ,3960316 ,4288385 
1310 台苯,6992316 ,6588563 ,6976245 ,6585315 ,6325326 ,6405198 ,5773156 ,5656292 ,5915637 ,6443131 ,6585401 ,6663176 ,6345232 ,5484772 ,5175406 ,5048798 ,5333737 ,5171685 ,5647180 
1312 國喬,19723896 ,18840980 ,19386269 ,18927671 ,19004700 ,19102886 ,18254286 ,17854044 ,17633542 ,17269585 ,18208647 ,18224752 ,17256492 ,16552363 ,16834438 ,16247904 ,16116503 ,15804575 ,15597999 
1313 聯成,17901262 ,17445192 ,17912446 ,17998206 ,18573851 ,19280130 ,18710714 ,18827249 ,18364465 ,18240876 ,18878706 ,18997521 ,18300407 ,17982918 ,18557151 ,18043618 ,18122998 ,17391864 ,18264525 
1314 中石化,51423766 ,51505026 ,52447575 ,53258018 ,53608546 ,53981814 ,53566459 ,53419291 ,54350374 ,54630326 ,52842659 ,53099118 ,32199480 ,32458817 ,34129505 ,35459649 ,35859314 ,36209365 ,39383540 
1315 達新,6973222 ,6753633 ,7174440 ,6920941 ,6768405 ,7117690 ,7282204 ,7165618 ,7178019 ,7415012 ,7403245 ,7547020 ,7325307 ,7240785 ,7113503 ,7213337 ,5976918 ,5607659 ,6422611 
1316 上曜,1766802 ,1790818 ,1837362 ,1870043 ,1912991 ,1962424 ,1977296 ,1672927 ,1535704 ,1558457 ,1558301 ,1461827 ,1173478 ,1286981 ,1335113 ,1168231 ,1225992 ,1330340 ,1256707 
1319 東陽,19522428 ,19155808 ,19652390 ,19129896 ,18634484 ,17903379 ,18290598 ,17962990 ,17729295 ,17376524 ,18231417 ,17843443 ,17637250 ,17263206 ,16926887 ,16720138 ,16660256 ,16522852 ,16604592 
1321 大洋,4984385 ,4964615 ,4960539 ,4962266 ,5027758 ,4970663 ,4961156 ,4956559 ,4999952 ,5052657 ,5088900 ,5090300 ,5098947 ,5085081 ,5042233 ,5107206 ,5169248 ,5179689 ,5255803 
1323 永裕,1957359 ,1893434 ,2007923 ,1951450 ,1906782 ,1795937 ,1973191 ,1930351 ,1816328 ,1698590 ,1789056 ,1706953 ,1633545 ,1565983 ,1550974 ,1510158 ,1453741 ,1413815 ,1458462 
1324 地球,991686 ,989107 ,1004752 ,988267 ,983995 ,951258 ,963047 ,959654 ,958152 ,939994 ,1032877 ,1018798 ,1001990 ,997248 ,1010472 ,1014915 ,1009686 ,996654 ,1040700 
1325 大,1926660 ,1933426 ,1980940 ,1951023 ,1931835 ,1893705 ,1924832 ,1912155 ,1867079 ,1861027 ,1938357 ,1912513 ,1880868 ,1877887 ,1901379 ,1870805 ,1850943 ,1842902 ,1895268 
1326 台化,346893610 ,331571126 ,345398589 ,333077533 ,315944799 ,322441147 ,327271226 ,323300101 ,317723214 ,324684196 ,313766350 ,312707801 ,300974693 ,297405600 ,282157235 ,273200001 ,270373547 ,261829682 ,305811879 
1333 恩得利,406076 ,425592 ,444448 ,472294 ,517602 ,519372 ,531104 ,535129 ,536547 ,521454 ,542059 ,604873 ,632391 ,649995 ,625236 ,610004 ,610827 ,616478 ,635690 
1336 台翰,1189713 ,1268961 ,1340130 ,1390430 ,1433401 ,1428053 ,1511838 ,1558754 ,1585984 ,1560599 ,1563268 ,1534525 ,1494383 ,1520921 ,1529366 ,1481150 ,1482492 ,1514056 ,1560054 
1337 再生-KY,9977421 ,10181779 ,10356164 ,10306094 ,10496605 ,9960605 ,10075835 ,10107154 ,9576466 ,9065092 ,9103891 ,8838180 ,8410049 ,8099638 ,8227135 ,7744324 ,6035501 ,5675786 ,5705981 
1338 廣華-KY,6323363 ,6306171 ,6715457 ,6633702 ,6530384 ,6112741 ,6248449 ,6099690 ,5851472 ,4822115 ,4934761 ,4834465 ,4547262 ,4471793 ,4416308 ,4235543 ,3598097 ,3529225 ,3497241 
1339 昭輝,3117226 ,3124096 ,3210899 ,3154968 ,3048606 ,2891833 ,2880418 ,1876233 ,1789178 ,1726761 ,1756513 ,1674072 ,1604011 ,1572928 ,1623041 ,1559088 ,1504593 ,1463099 ,1362461 
1340 勝悅-KY,5860348 ,5795967 ,5792024 ,5647499 ,5624325 ,5142769 ,5170441 ,5064904 ,4638237 ,4281198 ,4458412 ,3204345 ,2937012 ,2773262 ,2575364 ,1810591 ,,,
1402 遠東新,250374530 ,249210307 ,260367516 ,260397003 ,263999126 ,259168870 ,268839560 ,263484311 ,258058783 ,251407377 ,261036835 ,259449211 ,251323684 ,246626578 ,253567298 ,171825097 ,167636120 ,164642936 ,172261415 
1409 新纖,33106844 ,32974957 ,32951317 ,32717021 ,33266740 ,33423649 ,34642590 ,34469370 ,34468517 ,34313889 ,34723974 ,34238759 ,32684679 ,31111508 ,31041846 ,29747206 ,29490616 ,29000972 ,30136423 
1410 南染,1232815 ,1207826 ,1273858 ,1242208 ,1216509 ,1183611 ,1238420 ,1215419 ,1184367 ,1324757 ,1383811 ,1367777 ,1343904 ,1312409 ,1398752 ,1373566 ,1350163 ,1312184 ,1354080 
1413 宏洲,799162 ,822734 ,837926 ,841245 ,809134 ,855406 ,612109 ,683256 ,780632 ,889771 ,905640 ,969196 ,1044805 ,1055409 ,1163751 ,1280402 ,1282275 ,1321584 ,1342716 
1414 東和,3029552 ,3045458 ,3072502 ,3076421 ,3044800 ,3083174 ,3148860 ,3172429 ,3139534 ,3163619 ,3284821 ,3256379 ,3227141 ,3196854 ,3235273 ,3229355 ,3199018 ,3161943 ,3221439 
1416 廣豐,5158811 ,5697528 ,5412123 ,5059435 ,5146288 ,5367929 ,5547205 ,5402728 ,5034853 ,4805719 ,5434021 ,5451761 ,5257030 ,5996728 ,6429034 ,6474202 ,6288956 ,6349711 ,5289443 
1417 嘉裕,3957584 ,4081581 ,4203019 ,4239547 ,4434360 ,4554110 ,4719869 ,4828463 ,4748037 ,4400259 ,4497460 ,4379458 ,4299284 ,4374889 ,4557228 ,4507495 ,4503326 ,4512142 ,4515000 
1418 東華,376989 ,448593 ,479721 ,506161 ,586131 ,609625 ,642828 ,705564 ,761467 ,808231 ,849954 ,889253 ,897765 ,921868 ,976802 ,1042701 ,1056516 ,1152105 ,1264477 
1419 新紡,7317784 ,7122689 ,7186076 ,7259733 ,7054688 ,7093704 ,7371014 ,7319318 ,7398797 ,7362639 ,7280172 ,7291983 ,7119309 ,7040615 ,6943408 ,5733662 ,5739390 ,5475293 ,5696596 
1423 利華,2573898 ,2572168 ,2581565 ,2580649 ,2598779 ,2600030 ,2589242 ,2613046 ,2628074 ,2634324 ,2633608 ,2671216 ,2617122 ,2630453 ,2660445 ,2312474 ,2329695 ,2392897 ,2453883 
1432 大魯閣,2629235 ,2825258 ,2811167 ,2837865 ,2481925 ,2348375 ,2338903 ,2311775 ,2394951 ,2118110 ,2172628 ,2232738 ,1486571 ,1507981 ,1491955 ,1486168 ,1016897 ,1038036 ,1044923 
1434 福懋,62082002 ,57843728 ,61617643 ,56068730 ,55155310 ,54167995 ,52688155 ,52226663 ,52782202 ,52781063 ,53243244 ,54210085 ,51967266 ,51340456 ,52466493 ,54584645 ,55182333 ,51637177 ,57463544 
1435 中福,935131 ,935102 ,935479 ,941642 ,945891 ,945297 ,945982 ,945259 ,947899 ,946926 ,946917 ,946914 ,955690 ,955228 ,956942 ,958161 ,966855 ,970861 ,956190 
1436 華友聯,2274757 ,2255841 ,2217032 ,2239350 ,2234385 ,2248240 ,2360228 ,2367396 ,2333509 ,2263732 ,2048290 ,2046314 ,2040731 ,2045735 ,2054232 ,2057355 ,2049917 ,2020126 ,4647446 
1437 勤益控,5012596 ,4965456 ,4680639 ,4697147 ,4727577 ,4714817 ,4715634 ,4724366 ,4685515 ,4672472 ,4600670 ,4495092 ,4923793 ,5019452 ,5011248 ,3598087 ,3543726 ,3589006 ,3590551 
1438 裕豐,545763 ,546810 ,547897 ,549319 ,554001 ,549698 ,551425 ,538337 ,531620 ,532614 ,533885 ,534691 ,527583 ,521677 ,508301 ,504927 ,510376 ,501328 ,493122 
1439 中和,1936688 ,1932764 ,1981059 ,1984385 ,1984375 ,1984200 ,2029944 ,2029747 ,2027228 ,2025005 ,2072260 ,2074978 ,2075185 ,2075102 ,2121979 ,2119343 ,2121689 ,2122121 ,2175982 
1440 南紡,25371817 ,25398323 ,26177411 ,26309246 ,25879498 ,25257616 ,25674483 ,25700947 ,25543021 ,25577833 ,26007670 ,25946498 ,25504844 ,24665306 ,24613364 ,24258084 ,23794989 ,23482768 ,23611956 
1441 大東,602180 ,681869 ,751056 ,785592 ,816966 ,833454 ,846753 ,885822 ,971642 ,1029462 ,1064433 ,1072716 ,1069085 ,1091608 ,1103556 ,1074122 ,1084191 ,1105754 ,1150031 
1442 名軒,5268653 ,4847831 ,4972645 ,4964841 ,4805181 ,4323752 ,4423309 ,4204527 ,4060474 ,4004829 ,4694021 ,4537975 ,4448927 ,4162109 ,3727003 ,3410476 ,3369413 ,3336802 ,3748575 
1443 立益,801476 ,855576 ,881208 ,983330 ,1028538 ,1074408 ,1108498 ,1186171 ,1126302 ,1344518 ,1418560 ,1480017 ,1555726 ,1613529 ,1661706 ,1716017 ,1648823 ,1675109 ,1783263 
1444 力麗,11349760 ,11541343 ,12112022 ,12117125 ,12058129 ,12042082 ,12311555 ,12272580 ,12119207 ,12147302 ,12209982 ,12127921 ,12022802 ,11630526 ,11952412 ,11970890 ,11619662 ,10909555 ,11930404 
1445 大宇,1913164 ,1899724 ,1952217 ,1940329 ,1953742 ,1952033 ,1908565 ,1876026 ,1879853 ,1879321 ,1939534 ,1931702 ,1913820 ,1890036 ,1908199 ,1916162 ,1934637 ,1915445 ,1985521 
1446 宏和,1777591 ,1750851 ,1783345 ,1788960 ,1829692 ,1835282 ,1886933 ,1895389 ,1886941 ,1887720 ,1945643 ,1915966 ,1935897 ,1950392 ,1987286 ,1970082 ,1993244 ,2015415 ,2072351 
1447 力鵬,10179496 ,10377547 ,10517240 ,10704564 ,10729135 ,10884862 ,10585631 ,10746695 ,10780042 ,10747845 ,10851784 ,10668170 ,10121752 ,9780759 ,9492602 ,9353376 ,8972975 ,8550903 ,9536003 
1449 佳和,909002 ,924239 ,993844 ,1110136 ,1103807 ,1193056 ,1323775 ,1378526 ,1174298 ,1247429 ,1056196 ,1120064 ,772188 ,719398 ,368397 ,489584 ,567178 ,450774 ,543713 
1451 年興,9762921 ,9831773 ,10262467 ,10027413 ,9751513 ,9243144 ,10052327 ,10217565 ,9939676 ,10041806 ,10640642 ,10437471 ,9673468 ,9867780 ,10262906 ,10242146 ,10290850 ,10762712 ,11113900 
1452 宏益,2358131 ,2297444 ,2495826 ,2455825 ,2426264 ,2369275 ,2322837 ,2186125 ,2116525 ,2068871 ,2143319 ,2099941 ,2021078 ,1987604 ,2028366 ,2030045 ,2023401 ,1971829 ,2038181 
1453 大將,1009979 ,1008968 ,1012589 ,1005913 ,1013522 ,1031478 ,942537 ,958256 ,976071 ,972459 ,988679 ,994345 ,964082 ,974146 ,967921 ,967767 ,890316 ,840539 ,837142 
1454 台富,1669644 ,1659741 ,1700678 ,1683679 ,1699161 ,1694756 ,1655242 ,1628824 ,1628589 ,1615455 ,1643700 ,1648617 ,1597730 ,1556817 ,1561487 ,1583376 ,1604700 ,1592387 ,1665911 
1455 集盛,7447942 ,7418242 ,7490897 ,7475585 ,7456685 ,7548340 ,7400567 ,7467514 ,7432725 ,7407438 ,7605010 ,7524988 ,7422201 ,7370441 ,7313098 ,7208594 ,7162925 ,7126243 ,6751920 
1456 怡華,1054780 ,1052406 ,1062298 ,1097320 ,938314 ,961559 ,949649 ,968791 ,954350 ,974703 ,1063959 ,754175 ,670311 ,697543 ,734905 ,182819 ,38058 ,46048 ,94688 
1457 宜進,6433573 ,6458300 ,6439822 ,6401307 ,6393302 ,6380070 ,4670968 ,4562432 ,4596450 ,4558029 ,4540842 ,3887263 ,3780075 ,3703002 ,3738450 ,3734571 ,3752232 ,3788052 ,3770129 
1459 聯發,3359987 ,3347170 ,3566494 ,3554666 ,3499746 ,3649813 ,4062285 ,4134772 ,3885383 ,4000200 ,3972693 ,3995195 ,3829974 ,3801640 ,3807588 ,3782503 ,3800674 ,3761811 ,4037230 
1460 宏遠,4700744 ,4632878 ,4915276 ,4810682 ,4692812 ,4615361 ,4877908 ,4780435 ,4620076 ,4534648 ,4570201 ,4479358 ,4392440 ,4380179 ,4331926 ,4271659 ,4282194 ,4275742 ,4253926 
1463 強盛,2018261 ,1982866 ,2068762 ,2052254 ,2026621 ,1982982 ,2047530 ,2030141 ,2263597 ,2221168 ,2218901 ,2147413 ,2080008 ,2083535 ,2088185 ,2083857 ,2078693 ,2095603 ,1898779 
1464 得力,4791598 ,4709586 ,4477279 ,4281677 ,4079129 ,3899165 ,3815640 ,3763989 ,2703950 ,2650151 ,2578753 ,2558870 ,2547541 ,2587342 ,2610641 ,2568690 ,2541792 ,2625335 ,2654948 
1465 偉全,2208272 ,2363367 ,2407819 ,2396071 ,2407027 ,2292392 ,2436321 ,2425277 ,2345602 ,2304657 ,2333164 ,2294143 ,2229256 ,2186078 ,2228594 ,2152700 ,2141524 ,2134895 ,2207707 
1466 聚隆,1771233 ,1784744 ,1807421 ,1853978 ,1857846 ,1835951 ,1901584 ,1901237 ,1773395 ,1673928 ,1668879 ,1647322 ,1550765 ,1508632 ,1585657 ,1574199 ,1551361 ,1529603 ,1599492 
1467 南緯,2607874 ,2615635 ,2670666 ,2743823 ,2913623 ,2869813 ,3016202 ,3131495 ,3021771 ,2953220 ,2401095 ,2372470 ,2395004 ,2382718 ,2591925 ,2596414 ,2601504 ,2487168 ,2389529 
1468 昶和,1141588 ,1180606 ,1174717 ,1178228 ,1199105 ,1211949 ,1229171 ,1242420 ,1262273 ,1274394 ,1282210 ,1300934 ,1279840 ,1325662 ,1320610 ,1346732 ,1414763 ,1503962 ,1593088 
1469 理隆,1862297 ,1832172 ,1750410 ,1810918 ,1769196 ,1877210 ,1809111 ,1751779 ,1753360 ,1712296 ,1548780 ,1552886 ,1553228 ,1551704 ,1553613 ,1551914 ,1557310 ,1540908 ,1524417 
1470 大統染,934876 ,933922 ,975412 ,959602 ,938010 ,925222 ,970838 ,950496 ,922109 ,915596 ,924125 ,907290 ,896842 ,887908 ,889397 ,885608 ,880135 ,883063 ,898832 
1471 首利,1904082 ,2028954 ,2139009 ,2284361 ,2397649 ,2428302 ,2570855 ,2657283 ,2630985 ,2547696 ,2595823 ,2651207 ,2587569 ,2622965 ,2565693 ,2544815 ,2673005 ,2682491 ,2791421 
1472 三洋紡,387131 ,393675 ,417302 ,333357 ,323885 ,337376 ,321175 ,331975 ,317451 ,313654 ,334633 ,349111 ,373408 ,308374 ,358865 ,392873 ,433890 ,384038 ,451616 
1473 台南,4193014 ,4168252 ,4169576 ,4279377 ,4341753 ,4155713 ,4515434 ,4551602 ,4390057 ,4327291 ,4858129 ,4853970 ,4814485 ,4906712 ,5064839 ,4824295 ,4723021 ,4745128 ,5192364 
1474 弘裕,1827344 ,1816118 ,1858671 ,1833081 ,1834635 ,1783567 ,1801489 ,1786397 ,1740092 ,1717863 ,1756568 ,1752563 ,1707434 ,1701343 ,1714545 ,1709679 ,1780145 ,1804431 ,1841376 
1475 本盟,150890 ,169681 ,185102 ,186399 ,160086 ,174640 ,199809 ,220470 ,233629 ,255190 ,278362 ,297378 ,362897 ,406015 ,149287 ,177216 ,206361 ,232813 ,255004 
1476 儒鴻,13634569 ,12899720 ,14925039 ,11774329 ,10467120 ,9011357 ,10146007 ,9477691 ,8480639 ,7567268 ,8827458 ,8117381 ,7311528 ,6613056 ,7197851 ,6654073 ,5970725 ,4542253 ,4828202 
1477 聚陽,8469259 ,8127949 ,9663401 ,9112139 ,8648640 ,7768529 ,8797354 ,8162221 ,7613748 ,4894309 ,5856128 ,5330116 ,4970267 ,4586448 ,5184115 ,4676871 ,4462774 ,4088271 ,4741294 
1503 士電,21807589 ,21573297 ,22138991 ,21910079 ,21694765 ,21178053 ,21866293 ,21554293 ,21172389 ,20595106 ,21141955 ,20825170 ,19956796 ,19469681 ,19757217 ,19889302 ,19882317 ,19280893 ,20270005 
1504 東元,55608687 ,54313742 ,55394983 ,51432504 ,50234591 ,51004349 ,52724813 ,53288722 ,50062421 ,49180068 ,49053893 ,46723974 ,43890161 ,41929032 ,41888977 ,40461771 ,39438968 ,38219061 ,39498240 
1506 正道,1330159 ,1362399 ,1382601 ,1348008 ,1355542 ,1352331 ,1366193 ,1356386 ,1369291 ,1351638 ,1353279 ,1349992 ,1375999 ,1412790 ,1459698 ,1479011 ,1247557 ,1251533 ,1264509 
1507 永大,11741957 ,11603924 ,12559131 ,12209290 ,12122230 ,11329878 ,12225681 ,11852143 ,11103815 ,10235537 ,10956970 ,10409003 ,9735161 ,9289191 ,9752422 ,11598415 ,11228624 ,10864375 ,11362024 
1512 瑞利,1316663 ,1424453 ,1511956 ,1549465 ,1578042 ,1761149 ,1757408 ,1838513 ,1830175 ,1863176 ,1956575 ,2017492 ,1959226 ,2038441 ,2082739 ,2077116 ,2086020 ,2100346 ,2150960 
1513 中興電,7540173 ,7427856 ,7744966 ,7626675 ,7690235 ,7296202 ,7791754 ,7681231 ,7356926 ,7748580 ,8136911 ,8061487 ,7623173 ,7515938 ,7775299 ,7685293 ,7624693 ,7466425 ,7812547 
1514 亞力,2729630 ,2726872 ,2812465 ,2727765 ,2752840 ,2680380 ,2749985 ,2731626 ,2672579 ,2632573 ,2702783 ,2626094 ,2586447 ,2589459 ,2666409 ,2462859 ,2459412 ,2414910 ,2468709 
1515 力山,2344262 ,2301489 ,2417389 ,2439449 ,2448680 ,2308485 ,2386877 ,2365957 ,2227975 ,2199514 ,2343199 ,2400060 ,2209326 ,2130940 ,2048298 ,1998292 ,2036566 ,1988782 ,2024566 
1516 川飛,342690 ,341865 ,338402 ,321773 ,332540 ,334364 ,337347 ,206744 ,186272 ,178567 ,175653 ,174084 ,172922 ,170788 ,170632 ,101003 ,104576 ,100956 ,183204 
1517 利奇,3501298 ,3527792 ,3670422 ,3673721 ,3710714 ,3968397 ,4042588 ,4044154 ,3910520 ,3795401 ,3891856 ,3830319 ,3628482 ,3520168 ,3583371 ,3494063 ,3401114 ,3324090 ,3436812 
1519 華城,3268459 ,3141201 ,3142391 ,3159194 ,3124616 ,3086760 ,3140202 ,3151488 ,3007435 ,2944680 ,3013082 ,2976051 ,2940474 ,2873823 ,2923665 ,2952639 ,2842527 ,2824380 ,2976833 
1521 大億,1730910 ,1664292 ,1938515 ,1787372 ,1729238 ,1613309 ,1850741 ,1688424 ,1601873 ,1505795 ,1701447 ,1599259 ,1505896 ,1433807 ,1633971 ,1642110 ,1573351 ,1529884 ,1745874 
