company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
鑫科,3663,"48,253","32,568","12,229","-229,967","-163,374","-59,620","-33,202","11,985","2,257","-4,240","4,640","-13,313","-4,377","-2,926","2,791","67,014","44,421","21,482","9,562"
安瑞-KY,3664,"-102,797","-83,476","-49,038","47,922","37,806","80,786","-109,008","12,756","-47,016","-22,242","-26,738","44,673","-56,517","-68,043","-81,960","-144,106","-137,306","-109,307","-70,552"
貿聯-KY,3665,"625,308","374,504","165,513","759,950","547,840","339,660","170,772","616,934","448,601","266,126","100,644","563,569","428,179","270,203","96,797","308,474","222,089","140,132","52,084"
光耀,3666,"9,861","18,186","16,147","22,298","-24,064","-38,245","-18,780","227,495","180,619","97,095","46,669","168,931","139,202","106,330","38,636","39,721",,"4,690",
圓展,3669,"104,379","43,517","3,314","-26,450","-18,364","-37,420","-38,458","21,010","51,805","39,024","3,664","-47,654","-12,145","-3,780","1,540","40,837","55,810","8,906","1,029"
康聯訊,3672,"56,706","36,864","17,292","94,352","79,277","49,721","26,414","95,267","78,376","61,532","35,153","50,484",,"22,987",,"9,531",,"-4,222",
TPK-KY,3673,"-1,808,689","-2,499,008","15,168","-20,075,685","-21,079,385","-1,622,413","-1,007,408","566,721","384,919","551,756","169,031","7,614,567","9,092,100","7,993,753","4,769,579","14,358,709","8,760,030","5,555,174","2,596,957"
德微,3675,"67,955","44,908","17,566","93,230","73,569","43,162","19,946","57,697","42,506","22,264","8,036","-21,312","-15,392","-10,799","-11,278","-40,576","-20,892","-7,170",473
新至陞,3679,"415,944","239,963","85,700","339,426","193,351","54,759","6,334","291,220","200,836","115,332","57,429","281,448","191,902","76,044","39,209","414,063","300,093","215,732","85,883"
家登,3680,"-16,199","-20,095","-26,901","6,790","-18,718","-39,659","-23,959","30,361","22,193","13,444","11,580","20,104","-37,298","-46,201","-20,168","146,149","108,653","64,571","34,987"
亞太電,3682,"-3,650,716","-2,304,847","-862,287","-1,600,913","-2,032,364","-1,123,601","-324,249","-8,412,424","427,939","387,471","317,827","1,842,776","1,637,881","1,270,039","661,563","3,300,059",,"2,116,400",
榮昌,3684,"44,641","31,186","11,859","106,896","76,716","37,316","13,065","67,338","47,876","26,692","13,404","43,779","28,567","20,895","14,376","45,303",,"22,461",
元創精密,3685,"20,850","18,918","-2,424","-218,871","-24,279","32,078","14,684","-100,553","-113,434","-66,251","-21,096","44,657","44,279","18,056","7,561","10,134","7,533","-12,539","-8,978"
達能,3686,"-375,251","-143,744","-71,840","-603,838","-405,917","-293,066","-135,668","-537,100","-354,981","-209,875","-95,506","-624,268","-464,989","-324,178","-173,890","-759,906","-525,168","-326,116","-135,753"
歐買尬,3687,"-234,712","-126,345","-37,463","-103,158","-59,876","-29,738","-37,921","-413,346","-204,534","-144,100","-59,380","-145,120","-90,634","-28,167","5,846","150,292","156,974","125,019","40,765"
湧德,3689,"81,562","26,673","9,796","164,557","139,519","107,087","62,087","503,134","394,450","220,890","93,190","514,389","404,587","270,572","124,559","443,615","342,537","199,922","75,162"
碩禾,3691,"1,582,583","1,028,238","607,759","2,410,145","1,685,777","758,209","352,082","1,482,810","972,578","600,644","355,067","609,634","390,689","315,706","183,318","584,868","503,425","414,707","189,413"
營邦,3693,"61,200","19,261","9,597","339,608","290,318","162,209","111,011","364,680","266,234","165,852","106,255","287,149","216,637","146,497","73,201","149,675",,"43,510",
海華,3694,"62,429","16,610","13,830","38,825","-27,831","-106,603","-81,456","-562,437","-428,256","-451,239","-92,273","-258,768","-192,015","-127,163","-62,403","-127,276","-33,016","-13,879","-47,507"
隆達,3698,"-173,257","-140,997","-17,609","269,748","236,298","200,378","159,591","615,662","493,724","184,456","21,060","947,809","914,645","737,750","437,149","290,950","232,604","127,691","2,002"
大眾控,3701,"162,603","68,150","30,646","-655,469","-299,941","-203,983","1,927","-642,589","-375,295","-470,698","-400,908","-633,949","-440,983","-326,869","-210,339","-800,764","-203,077","-208,846","-66,338"
大聯大,3702,"4,991,100","3,117,902","1,560,371","5,435,932","4,181,322","2,563,425","1,399,045","5,814,176","4,466,929","2,908,453","1,395,959","4,759,732","3,753,191","2,418,333","1,040,260","4,458,222","3,510,295","2,136,339","929,963"
欣陸,3703,"-182,867","-402,553","-7,221","568,124","280,355","418,545","450,222","-975,437","1,095,495","782,541","-96,823","938,609","243,942","-69,966","-6,802","1,424,322","833,661","705,268","478,248"
合勤控,3704,"137,352","198,769","167,758","-646,005","-550,576","-644,165","-445,459","178,257","289,017","261,417","51,141","347,242","81,892","-114,226","-103,945","-27,427","-157,724","-177,533","-121,927"
永信,3705,"528,629","442,561","139,628","895,399","585,966","367,523","197,547","728,267","564,096","368,026","182,123","618,821","415,442","278,406","142,827","438,982","342,144","263,312","118,548"
神達,3706,"1,580,208","781,290","163,328","1,754,092","1,443,918","952,697","432,008","760,920","492,168","273,766","-37,927","570,796","75,742",,,,,,
漢磊,3707,"-300,480","-176,823","-108,326","-548,563","-327,047","-177,900","-94,020","-127,274",,,,,,,,,,,
上緯投控,3708,"3,534",,,,,,,,,,,,,,,,,,
永日,4102,"-59,078","-30,212","-12,681","-27,647","-23,930","-29,464","-19,837","-66,451","-52,316","-46,083","-24,454","-66,850","-53,997","-10,483","-4,770","3,491","8,560","11,986","3,420"
百略,4103,"414,214","162,873","75,429","648,281","470,141","162,586","88,071","619,680","410,051","154,049","72,682","630,961","521,592","261,206","131,957","556,787","505,910","195,138","85,355"
佳醫,4104,"376,596","264,565","151,730","467,746","343,878","231,585","101,875","368,045","294,733","198,030","97,480","326,405","294,136","197,680","64,503","361,000","317,655","201,836","106,527"
東洋,4105,"906,409","692,689","305,191","1,246,592","545,387","297,385","103,695","811,695","199,378","99,467","61,095","644,530","613,287","608,060","536,374","681,951","528,851","497,151","187,972"
雃博,4106,"107,063","80,799","47,033","173,933","126,943","112,894","63,147","198,106","168,200","116,860","60,610","146,229","99,944","84,858","44,398","205,106","170,181","119,097","56,003"
邦特,4107,"273,030","192,233","91,561","315,766","249,924","148,390","71,576","290,902","209,225","134,037","62,198","215,224","162,195","104,157","48,243","166,308","115,432","70,996","36,962"
懷特,4108,"-164,336","-126,581","-64,929","-242,162","-193,416","-148,976","-82,303","-347,284","-243,165","-157,418","-39,208","-192,263","-67,081","-21,701","7,854","-111,988","-76,189","-55,276","-26,507"
穆拉德,4109,"7,355","12,597","12,398","41,563","23,859","14,212","9,873","7,366","6,619","5,480","2,980","15,583",536,"-5,868",-298,"14,418","10,786","5,697","6,678"
濟生,4111,"46,945","25,766","9,312","39,025","37,488","19,171","6,347","72,963","70,077","42,005","20,670","95,522","61,428","32,446","10,316","70,824","58,343","41,901","23,133"
聯上,4113,"39,793","40,301","21,491","269,570","179,929","62,140","38,358","820,683","688,262","221,325","95,930","568,653","230,525","187,077","78,447","293,585","238,043","83,069","4,737"
健喬,4114,"137,741","147,935","159,156","-28,264","9,382","8,747","9,871","61,568","63,211","49,612","30,377","56,154","35,383","21,907","8,674","67,641","65,497","51,197","87,128"
明基醫,4116,"31,517","22,754","9,353","114,956","124,716","117,280","11,786","75,655","53,903","28,973","8,489","42,429",,"15,434",,"28,821",,"11,075",
旭富,4119,"382,843","288,414","156,935","373,902","312,770","217,568","92,818","264,839","217,464","156,786","63,605","159,938","122,997","100,219","53,600","194,449","138,758","91,917","56,869"
友華,4120,"265,031","204,251","152,093","135,894","124,952","104,590","110,485","131,197","124,156","84,202","51,381","436,441","502,260","396,064","121,727","169,538","142,241","87,455","91,127"
優盛,4121,"-32,453","-20,552","-7,838","-75,505","-32,016","-26,453","-15,234","-6,661","-4,343","2,044","4,810","11,171","22,336","29,611","40,599","26,592","28,879","9,224","6,256"
